NĂ©v;KategĂłria;Aliasok
"FoghĂşzĂˇs varrattal (db)";"SzĂˇjsebĂ©szet";"extr varrattal|szuturĂˇs extractio|extraction with suture"
"MĹ±tĂ©ti foghĂşzĂˇs (feltĂˇrĂˇssal)";"SzĂˇjsebĂ©szet";"mĹ±tĂ©ti extractio|surgical extraction|feltĂˇrĂˇsos foghĂşzĂˇs"
"MĹ±tĂ©ti bĂ¶lcsessĂ©gfog eltĂˇvolĂ­tĂˇs (felsĹ‘)";"SzĂˇjsebĂ©szet";"felsĹ‘ 8-as eltĂˇvolĂ­tĂˇs|maxilla 8|wisdom tooth UP|felsĹ‘ bĂ¶lcsessĂ©gfog"
"MĹ±tĂ©ti bĂ¶lcsessĂ©gfog eltĂˇvolĂ­tĂˇs (alsĂł)";"SzĂˇjsebĂ©szet";"alsĂł 8-as eltĂˇvolĂ­tĂˇs|mandibula 8|wisdom tooth LO|alsĂł bĂ¶lcsessĂ©gfog"
"RetinĂˇlt bĂ¶lcsessĂ©gfog eltĂˇvolĂ­tĂˇsa (impactĂˇlt)";"SzĂˇjsebĂ©szet";"retinĂˇlt 8|impacted molar|csontba zĂˇrt 8-as"
"Tejfog eltĂˇvolĂ­tĂˇs Ă©rzĂ©stelenĂ­tĂ©s nĂ©lkĂĽl";"SzĂˇjsebĂ©szet";"tejfoghĂşzĂˇs|deciduous extraction|Ă©rzĂ©stelenĂ­tĂ©s nĂ©lkĂĽl tejfog"
"Tejfog eltĂˇvolĂ­tĂˇs Ă©rzĂ©stelenĂ­tĂ©ssel";"SzĂˇjsebĂ©szet";"tejfoghĂşzĂˇs Ă©rzĂ©stelenĂ­tve|tejfog extr injekciĂłval"
"GyĂ¶kĂ©r eltĂˇvolĂ­tĂˇsa (Dissectio)";"SzĂˇjsebĂ©szet";"dissectio|gyĂ¶kĂ©r disszekciĂł|root resection"
"Pericoronitis kezelĂ©s";"SzĂˇjsebĂ©szet";"pericoronitis|operculectomia|Ă­ny gyulladĂˇs 8-as"
"Alveolitis kezelĂ©s";"SzĂˇjsebĂ©szet";"alveolitis|szĂˇrazfog|dry socket|csĂ­kkezelĂ©s"
"CsĂ­kcsere (alveolitis)";"SzĂˇjsebĂ©szet";"csĂ­kcsere|alvogyl csere|tampon csere"
"TĂˇlyog megnyitĂˇs (inciziĂł)";"SzĂˇjsebĂ©szet";"abscessus|tĂˇlyog megnyitĂˇs|incision and drainage|inciziĂł"
"CisztektĂłmia";"SzĂˇjsebĂ©szet";"cystectomia|cisztektĂłmia|gyĂ¶kĂ©rcsĂşcs ciszta mĹ±tĂ©t"
"GyĂ¶kĂ©rcsĂşcs reszekciĂł - frontfog";"SzĂˇjsebĂ©szet";"resectio front|gyĂ¶kĂ©rcsĂşcs reszekciĂł front|apicoectomy front"
"GyĂ¶kĂ©rcsĂşcs reszekciĂł - kisĹ‘rlĹ‘";"SzĂˇjsebĂ©szet";"resectio kisĹ‘rlĹ‘|apicoectomy premolar"
"GyĂ¶kĂ©rcsĂşcs reszekciĂł - nagyĹ‘rlĹ‘";"SzĂˇjsebĂ©szet";"resectio nagyĹ‘rlĹ‘|apicoectomy molar"
"ReszekciĂł reoperĂˇciĂł";"SzĂˇjsebĂ©szet";"reszekciĂł reop|reapikoektomia|ĂşjramĹ±tĂ©t"
"RetrogrĂˇd gyĂ¶kĂ©rtĂ¶mĂ©s (csatornĂˇnkĂ©nt)";"SzĂˇjsebĂ©szet";"retrogrĂˇd GYT|MTA root end filling|reverse root canal filling"
"Sinus zĂˇrĂˇs (oroantrĂˇlis kommunikĂˇciĂł)";"SzĂˇjsebĂ©szet";"sinus zĂˇrĂˇs|OAC|oroantrĂˇlis zĂˇrĂˇs|MAS mĹ±tĂ©t"
"LĂˇgyrĂ©sz kimetszĂ©s";"SzĂˇjsebĂ©szet";"lĂˇgyrĂ©sz kimetszĂ©s|excisio|soft tissue excision"
"LĂˇgyrĂ©sz kimetszĂ©s szĂ¶vettani vizsgĂˇlattal";"SzĂˇjsebĂ©szet";"excisio + szĂ¶vettan|excisional biopsy"
"NyĂˇlkahĂˇrtya elvĂˇltozĂˇs eltĂˇvolĂ­tĂˇsa";"SzĂˇjsebĂ©szet";"mucosa elvĂˇltozĂˇs|fibroma|epulis|mucocele eltĂˇvolĂ­tĂˇs"
"ImplantĂˇtum mĹ±tĂ©ti eltĂˇvolĂ­tĂˇsa";"SzĂˇjsebĂ©szet";"implant explantation|implantĂˇtum eltĂˇvolĂ­tĂˇs mĹ±tĂ©ti"
"ImplantĂˇtum felszabadĂ­tĂˇs II. fĂˇzis";"SzĂˇjsebĂ©szet";"implant uncovering|II. fĂˇzis|exposure"
"VarratszedĂ©s";"SzĂˇjsebĂ©szet";"varratszedĂ©s|suture removal|szutura kivĂ©tel"
"Hemostasis (vĂ©rzĂ©scsillapĂ­tĂˇs)";"SzĂˇjsebĂ©szet";"hemostasis|vĂ©rzĂ©scsillapĂ­tĂˇs|posztextrakciĂłs vĂ©rzĂ©s"
"Sialolithiasis (nyĂˇlkĹ‘ eltĂˇvolĂ­tĂˇs)";"SzĂˇjsebĂ©szet";"nyĂˇlkĹ‘|sialolith|nyĂˇlcsator nyitĂˇs"
"MĹ±tĂ©ti elĹ‘kĂ©szĂ­tĂ©s (Hygitech steril takarĂˇs)";"SzĂˇjsebĂ©szet";"steril takarĂˇs|mĹ±tĂ©ti elĹ‘kĂ©szĂ­tĂ©s|hygitech|surgical drape"
"ApikĂˇlis kĂĽrettĂˇlĂˇs";"SzĂˇjsebĂ©szet";"apikĂˇlis kĂĽrett|apical curettage"
"Gyermek elsĹ‘ vizsgĂˇlat (adaptĂˇciĂł)";"GyermekfogĂˇszat";"gyermek vizsgĂˇlat|adaptĂˇciĂł|elsĹ‘ talĂˇlkozĂˇs|tell-show-do"
"Gyermek kontroll vizsgĂˇlat";"GyermekfogĂˇszat";"gyermek kontroll|recall pediatric"
"Tejfog tĂ¶mĂ©s (1 felszĂ­n)";"GyermekfogĂˇszat";"tejfog 1F|deciduous filling 1F|tejfog tĂ¶mĂ©s 1 felszĂ­n"
"Tejfog tĂ¶mĂ©s (2+ felszĂ­n)";"GyermekfogĂˇszat";"tejfog 2F|deciduous filling 2F|MOD tejfog"
"Tejfog ideiglenes gyĂłgyszeres tĂ¶mĂ©se";"GyermekfogĂˇszat";"tejfog gyĂłgyszeres|cariostatic|SDF|ezĂĽst-diamin-fluorid"
"Tejfog trepanĂˇlĂˇs";"GyermekfogĂˇszat";"tejfog trepanĂˇlĂˇs|tejfog megnyitĂˇs"
"Pulpotomia tejfogon";"GyermekfogĂˇszat";"pulpotomia tejfog|formokrezol pulpotomia|MTA pulpotomia"
"Tejfog gyĂ¶kĂ©rtĂ¶mĂ©s (pulpektĂłmia)";"GyermekfogĂˇszat";"tejfog GYT|tejfog pulpektĂłmia|root filling deciduous"
"Tejfog stainless steel korona (SSC)";"GyermekfogĂˇszat";"SSC|preformĂˇlt korona|tejfog acĂ©l korona|Hall korona|Hall technique"
"Tejfog cirkon korona";"GyermekfogĂˇszat";"tejfog cirkon korona|esztĂ©tikus tejfog korona|zirconia ped crown"
"Tejfog eltĂˇvolĂ­tĂˇs (alkalmankĂ©nt)";"GyermekfogĂˇszat";"tejfoghĂşzĂˇs|tejfog extr|deciduous extraction"
"HelyfenntartĂł (rĂ¶gzĂ­tett, band-loop / lingual Ă­v)";"GyermekfogĂˇszat";"helyfenntartĂł|space maintainer|band-loop|Nance"
"HelyfenntartĂł (kivehetĹ‘)";"GyermekfogĂˇszat";"kivehetĹ‘ helyfenntartĂł|removable space maintainer"
"BarĂˇzdazĂˇrĂˇs (felszĂ­ni)";"GyermekfogĂˇszat";"barĂˇzdazĂˇrĂˇs|sealant|sealing|fissure sealant"
"Kiterjesztett barĂˇzdazĂˇrĂˇs";"GyermekfogĂˇszat";"kiterjesztett sealant|preventive resin restoration|PRR"
"Kinetikus preparĂˇciĂłval vĂ©gzett barĂˇzdazĂˇrĂˇs (EtchMaster)";"GyermekfogĂˇszat";"kinetikus prep|airabrasion sealant|EtchMaster"
"FluoridĂˇlĂˇs (gyermek, alkalmankĂ©nt)";"GyermekfogĂˇszat";"fluor gyerek|Duraphat gyerek|fluor lakk gyermek"
"AnyĂˇk tanĂˇcsadĂˇs (csecsemĹ‘/kisded)";"GyermekfogĂˇszat";"anyatanĂˇcsadĂˇs|infant counseling|early childhood prevention"
"JĂˇtĂ©kos adaptĂˇciĂł (kĂĽlĂ¶n ĂĽlĂ©s)";"GyermekfogĂˇszat";"adaptĂˇciĂł|tell-show-do|gyerek adaptĂˇciĂł|behavior management"
"FogszabĂˇlyozĂł pĂˇciens vizsgĂˇlat";"FogszabĂˇlyozĂˇs";"orto vizsgĂˇlat|fogszabĂˇlyozĂˇs vizsgĂˇlat|ortodonciai vizsgĂˇlat"
"FogszabĂˇlyozĂˇsi dokumentĂˇciĂł (fotĂł + lenyomat/szken)";"FogszabĂˇlyozĂˇs";"orto dokumentĂˇciĂł|orto fotĂł|orto lenyomat|orthodontic records"
"3D digitĂˇlis orto tervezĂ©s (sĂ­nes terĂˇpia tervezĂ©s)";"FogszabĂˇlyozĂˇs";"3D orto tervezĂ©s|clincheck|sĂ­nes tervezĂ©s|aligner planning"
"KivehetĹ‘ fogszabĂˇlyozĂł kĂ©szĂĽlĂ©k (1 fogĂ­v)";"FogszabĂˇlyozĂˇs";"kivehetĹ‘ kĂ©szĂĽlĂ©k|removable orto|1 fogĂ­ves kivehetĹ‘"
"KivehetĹ‘ fogszabĂˇlyozĂł kĂ©szĂĽlĂ©k (bimaxillĂˇris)";"FogszabĂˇlyozĂˇs";"bimaxillĂˇris|kivehetĹ‘ bi|aktivĂˇtor|bimax orto"
"Hyrax (gyors palatum expander)";"FogszabĂˇlyozĂˇs";"hyrax|RPE|gyors expander|palatum tĂˇgĂ­tĂˇs"
"Quadhelix (sima gyĹ±rĹ±kkel)";"FogszabĂˇlyozĂˇs";"quadhelix|qhx|kvadhelix"
"Quadhelix (MB gyĹ±rĹ±kkel)";"FogszabĂˇlyozĂˇs";"quadhelix MB|kvadhelix bracket gyĹ±rĹ±"
"BWS (Bonded Wire Splint, 1 fogĂ­v)";"FogszabĂˇlyozĂˇs";"BWS|bonded wire splint|ragasztott drĂłt sĂ­n"
"D-Gainer";"FogszabĂˇlyozĂˇs";"d-gainer|distalizĂˇlĂł orto kĂ©szĂĽlĂ©k"
"Delaire maszk";"FogszabĂˇlyozĂˇs";"delaire|fej-arc orto|FaceMask"
"FerdesĂ­k";"FogszabĂˇlyozĂˇs";"ferdesĂ­k|inclined plane|harapĂˇs emelĹ‘ ferde"
"FerdesĂ­k levĂˇgĂˇsa";"FogszabĂˇlyozĂˇs";"ferdesĂ­k eltĂˇvolĂ­tĂˇs|inclined plane removal"
"Lingual Ă­v / TPA / Goshgarian";"FogszabĂˇlyozĂˇs";"lingual Ă­v|TPA|trans palatal arch|Goshgarian"
"MyofunkcionĂˇlis kĂ©szĂĽlĂ©k (ĂˇltalĂˇnos)";"FogszabĂˇlyozĂˇs";"myo kĂ©szĂĽlĂ©k|myofunctional appliance|izomtorna kĂ©szĂĽlĂ©k"
"Myobrace kĂ©szĂĽlĂ©k (B/I/J/K/MBA/T)";"FogszabĂˇlyozĂˇs";"myobrace|MRC|preorto kĂ©szĂĽlĂ©k"
"Powerguard sorozat";"FogszabĂˇlyozĂˇs";"powerguard|MRC powerguard"
"Infant trainer (3 Ă©ves kortĂłl)";"FogszabĂˇlyozĂˇs";"infant trainer|MRC infant|kisgyermek trainer"
"Lipp trainer";"FogszabĂˇlyozĂˇs";"lipp trainer|ajaktrĂ©ner|lip trainer"
"Myolay harapĂˇsemelĹ‘";"FogszabĂˇlyozĂˇs";"myolay|harapĂˇsemelĹ‘ myo"
"MikroimplantĂˇtum fogszabĂˇlyozĂˇsi cĂ©lra (TAD)";"FogszabĂˇlyozĂˇs";"TAD|temporary anchorage device|mini-implantĂˇtum orto"
"MikroimplantĂˇtumon elhorgonyzott kĂ©szĂĽlĂ©k (egyedi)";"FogszabĂˇlyozĂˇs";"TAD-elhorgonyzott|mini-implantĂˇtum kĂ©szĂĽlĂ©k"
"RĂ¶gzĂ­tett fĂ©m kĂ©szĂĽlĂ©k 1 fogĂ­v (nem Ă¶nligĂ­rozĂł)";"FogszabĂˇlyozĂˇs";"fĂ©m bracket nem Ă¶nligĂ­rozĂł|MBT|Roth fix|hagyomĂˇnyos bracket"
"RĂ¶gzĂ­tett fĂ©m kĂ©szĂĽlĂ©k 1 fogĂ­v (Ă¶nligĂ­rozĂł)";"FogszabĂˇlyozĂˇs";"Ă¶nligĂ­rozĂł fĂ©m|self-ligating|Damon|H4|fix Ă¶nligĂ­rozĂł"
"RĂ¶gzĂ­tett esztĂ©tikus kĂ©szĂĽlĂ©k 1 fogĂ­v (nem Ă¶nligĂ­rozĂł)";"FogszabĂˇlyozĂˇs";"porcelĂˇn bracket nem Ă¶nligĂ­rozĂł|esztĂ©tikus fix|kerĂˇmia bracket"
"RĂ¶gzĂ­tett esztĂ©tikus kĂ©szĂĽlĂ©k 1 fogĂ­v (Ă¶nligĂ­rozĂł)";"FogszabĂˇlyozĂˇs";"porcelĂˇn Ă¶nligĂ­rozĂł|esztĂ©tikus self-ligating|Damon Clear"
"LingvĂˇlis rĂ¶gzĂ­tett kĂ©szĂĽlĂ©k (1 fogĂ­v)";"FogszabĂˇlyozĂˇs";"lingual fix|incognito|lingual orto|nyelv felĂ¶li kĂ©szĂĽlĂ©k"
"Bracket visszaragasztĂˇs (fĂ©m, db)";"FogszabĂˇlyozĂˇs";"bracket vissza|rebonding fĂ©m|bracket rebond"
"Bracket visszaragasztĂˇs (esztĂ©tikus, db)";"FogszabĂˇlyozĂˇs";"bracket vissza esztĂ©tikus|rebonding porcelĂˇn"
"Bracket pĂłtlĂˇs (elveszett fĂ©m bracket)";"FogszabĂˇlyozĂˇs";"Ăşj bracket|bracket pĂłtlĂˇs fĂ©m|lost bracket replacement"
"Bracket pĂłtlĂˇs (elveszett porcelĂˇn bracket)";"FogszabĂˇlyozĂˇs";"Ăşj bracket porcelĂˇn|bracket pĂłtlĂˇs esztĂ©tikus"
"ĂŤvcsere Ă­venkĂ©nt (fĂ©m)";"FogszabĂˇlyozĂˇs";"Ă­vcsere|wire change|ortodonciai Ă­v"
"ĂŤvcsere Ă­venkĂ©nt (esztĂ©tikus kĂ©szĂĽlĂ©knĂ©l)";"FogszabĂˇlyozĂˇs";"esztĂ©tikus Ă­vcsere|coated wire change|epoxy wire"
"ĂŤv Ă©s gumicsere (1 fogĂ­v)";"FogszabĂˇlyozĂˇs";"Ă­v+gumi 1|teljes csere 1 Ă­v"
"ĂŤv Ă©s gumicsere (2 fogĂ­v)";"FogszabĂˇlyozĂˇs";"Ă­v+gumi 2|teljes csere 2 Ă­v"
"Gumicsere (1 fogĂ­v, nem Ă¶nligĂ­rozĂł)";"FogszabĂˇlyozĂˇs";"gumicsere|ligature change|elastic change"
"Kontroll - rĂ¶gzĂ­tett kĂ©szĂĽlĂ©kkel";"FogszabĂˇlyozĂˇs";"orto kontroll fix|fix kontroll|adjustment fix"
"Kontroll - kivehetĹ‘ kĂ©szĂĽlĂ©kkel (1 kĂ©szĂĽlĂ©k)";"FogszabĂˇlyozĂˇs";"orto kontroll kivehetĹ‘|aktivĂˇlĂˇs kivehetĹ‘ 1"
"Kontroll - kivehetĹ‘ kĂ©szĂĽlĂ©kkel (2 kĂ©szĂĽlĂ©k)";"FogszabĂˇlyozĂˇs";"orto kontroll bimax|aktivĂˇlĂˇs bimax"
"Kontroll - kĂ©szĂĽlĂ©k nĂ©lkĂĽl";"FogszabĂˇlyozĂˇs";"orto kontroll nincs kĂ©szĂĽlĂ©k|monitoring"
"Kontroll - sĂ­nes terĂˇpia (Invisalign/aligner)";"FogszabĂˇlyozĂˇs";"aligner kontroll|invisalign kontroll|sĂ­n kontroll"
"SĂ­nes fogszabĂˇlyozĂˇs - Quick (~12 sĂ­n)";"FogszabĂˇlyozĂˇs";"aligner quick|sĂ­n quick|short aligner|invisalign express"
"SĂ­nes fogszabĂˇlyozĂˇs - Simple (~22 sĂ­n)";"FogszabĂˇlyozĂˇs";"aligner simple|sĂ­n simple|aligner lite"
"SĂ­nes fogszabĂˇlyozĂˇs - Complex (~48 sĂ­n)";"FogszabĂˇlyozĂˇs";"aligner complex|sĂ­n complex|invisalign comprehensive"
"SĂ­nes fogszabĂˇlyozĂˇs - Pro (~68 sĂ­n)";"FogszabĂˇlyozĂˇs";"aligner pro|sĂ­n pro|invisalign full"
"SĂ­nes fogszabĂˇlyozĂˇs - Unlimited (komplex)";"FogszabĂˇlyozĂˇs";"aligner unlimited|sĂ­n korlĂˇtlan"
"SĂ­nes fogszabĂˇlyozĂˇs - tervezĂ©si dĂ­j";"FogszabĂˇlyozĂˇs";"aligner tervezĂ©s|sĂ­n tervezĂ©si dĂ­j|setup dĂ­j"
"Attachment ragasztĂˇs (fogankĂ©nt)";"FogszabĂˇlyozĂˇs";"attachment ragasztĂˇs|atch|invisalign attachment"
"Attachment levĂ©tel (fogankĂ©nt)";"FogszabĂˇlyozĂˇs";"attachment levĂ©tel|atch eltĂˇvolĂ­tĂˇs"
"IPR (interproximĂˇlis redukciĂł)";"FogszabĂˇlyozĂˇs";"IPR|stripping|interproximalis redukciĂł"
"Fix retainer (1 fogĂ­v)";"FogszabĂˇlyozĂˇs";"fix retainer|kĂ¶tĂ¶tt retainer|lingual retainer|drĂłt retainer"
"Smilezor fix retainer";"FogszabĂˇlyozĂˇs";"smilezor retainer|sz retainer fix"
"Fix retainer csere (1 fogĂ­v)";"FogszabĂˇlyozĂˇs";"retainer csere|fix retainer csere"
"Fix retainer javĂ­tĂˇs";"FogszabĂˇlyozĂˇs";"retainer javĂ­tĂˇs|drĂłt retainer javĂ­tĂˇs"
"Vivera retainer (1 fogĂ­v)";"FogszabĂˇlyozĂˇs";"vivera 1|invisalign retainer 1|essix retainer 1"
"Vivera retainer (2 fogĂ­v)";"FogszabĂˇlyozĂˇs";"vivera 2|invisalign retainer 2|essix retainer 2"
"KivehetĹ‘ retainer (1 fogĂ­v, vacuformed)";"FogszabĂˇlyozĂˇs";"essix|vacuum formed retainer|kivehetĹ‘ retainer"
"KĂ©szĂĽlĂ©k eltĂˇvolĂ­tĂˇsa (1 fogĂ­v)";"FogszabĂˇlyozĂˇs";"debonding|debond 1|fix levĂ©tel"
"RĂ¶gzĂ­tett kĂ©szĂĽlĂ©k levĂ©tele + retenciĂłs kĂ©szĂĽlĂ©k (1 fogĂ­v)";"FogszabĂˇlyozĂˇs";"debond + retainer|fix levĂ©tel + vivera|debond Ă©s retainer ĂˇtadĂˇs"
"SĂ­n ĂˇtadĂˇs";"FogszabĂˇlyozĂˇs";"aligner ĂˇtadĂˇs|sĂ­n delivery"
"PĂˇciens orto viasz";"FogszabĂˇlyozĂˇs";"orto viasz|wax|bracket viasz"
"TejfoghĂşzĂˇs (orto cĂ©lzott)";"FogszabĂˇlyozĂˇs";"orto cĂ©lĂş tejfoghĂşzĂˇs|seriĂˇlis extrakciĂł"
"StabilizĂˇciĂłs (Michigan) sĂ­n";"HarapĂˇsemelĹ‘k, sĂ­nek, fogvĂ©dĹ‘k";"Michigan sĂ­n|stabilizĂˇciĂłs sĂ­n|stab sĂ­n|occlusal splint"
"StabilizĂˇciĂłs sĂ­n ĂşjraadaptĂˇlĂˇsa";"HarapĂˇsemelĹ‘k, sĂ­nek, fogvĂ©dĹ‘k";"sĂ­n ĂşjraadaptĂˇlĂˇs|sĂ­n csiszolĂˇs|splint adjustment"
"NTI-tss harapĂˇsemelĹ‘";"HarapĂˇsemelĹ‘k, sĂ­nek, fogvĂ©dĹ‘k";"NTI|NTI-tss|mini harapĂˇsemelĹ‘|anterior bite plane"
"NTI kontroll";"HarapĂˇsemelĹ‘k, sĂ­nek, fogvĂ©dĹ‘k";"NTI kontroll|NTI adjustment"
"EgyĂ©ni harapĂˇsemelĹ‘ kĂ©szĂ­tĂ©se (1 hĂłnap kĂ¶vetĂ©ssel)";"HarapĂˇsemelĹ‘k, sĂ­nek, fogvĂ©dĹ‘k";"egyĂ©ni harapĂˇsemelĹ‘|custom bite raiser"
"Lions horkolĂˇsgĂˇtlĂł kĂ©szĂĽlĂ©k";"HarapĂˇsemelĹ‘k, sĂ­nek, fogvĂ©dĹ‘k";"lions|horkolĂˇsgĂˇtlĂł|MAD|mandibular advancement"
"Silensor horkolĂˇsgĂˇtlĂł";"HarapĂˇsemelĹ‘k, sĂ­nek, fogvĂ©dĹ‘k";"silensor|horkolĂˇs silensor|sleep apnoe kĂ©szĂĽlĂ©k"
"TMJ-MBV horkolĂˇsgĂˇtlĂł";"HarapĂˇsemelĹ‘k, sĂ­nek, fogvĂ©dĹ‘k";"TMJ MBV|MBV kĂ©szĂĽlĂ©k|TMJ horkolĂˇsgĂˇtlĂł"
"TMJ-BDS kĂ©szĂĽlĂ©k";"HarapĂˇsemelĹ‘k, sĂ­nek, fogvĂ©dĹ‘k";"TMJ BDS|BDS kĂ©szĂĽlĂ©k"
"Myosa S2 (TMJ MBV horkolĂˇsgĂˇtlĂł 2. fĂˇzis)";"HarapĂˇsemelĹ‘k, sĂ­nek, fogvĂ©dĹ‘k";"myosa s2|tmj mbv 2"
"SportolĂłi fogvĂ©dĹ‘ (Playsafe)";"HarapĂˇsemelĹ‘k, sĂ­nek, fogvĂ©dĹ‘k";"sport fogvĂ©dĹ‘|mouthguard|playsafe|sportolĂłi vĂ©dĹ‘"
"SportolĂłi fogvĂ©dĹ‘ (heavy-pro)";"HarapĂˇsemelĹ‘k, sĂ­nek, fogvĂ©dĹ‘k";"playsafe heavy pro|professzionĂˇlis sportfogvĂ©dĹ‘"
"Bruxizmus elleni sĂ­n";"HarapĂˇsemelĹ‘k, sĂ­nek, fogvĂ©dĹ‘k";"bruxizmus sĂ­n|night guard|fogcsikorgatĂł sĂ­n"
"MĹ±anyag bemarĂłs sĂ­n";"HarapĂˇsemelĹ‘k, sĂ­nek, fogvĂ©dĹ‘k";"bemarĂłs sĂ­n|tĂ©nyezĹ‘s sĂ­n|deprogrammĂˇlĂł sĂ­n"
"FogszorĂ­tĂˇs terĂˇpia (komplex csomag)";"HarapĂˇsemelĹ‘k, sĂ­nek, fogvĂ©dĹ‘k";"fogszorĂ­tĂˇs|clenching terĂˇpia|TMJ csomag"
"KiegĂ©szĂ­tĹ‘ sĂ­n 1 fogĂ­vre";"HarapĂˇsemelĹ‘k, sĂ­nek, fogvĂ©dĹ‘k";"kiegĂ©szĂ­tĹ‘ sĂ­n|secondary splint"
"CsontpĂłtlĂł anyag (xenogĂ©n) - 0.25 g";"Anyagok Ă©s felszerelĂ©sek";"xenogĂ©n csontpĂłtlĂł 0.25g|Cerabone 0.25|Bio-Oss kis|Xenogain 0.25"
"CsontpĂłtlĂł anyag (xenogĂ©n) - 0.5 g";"Anyagok Ă©s felszerelĂ©sek";"xenogĂ©n csontpĂłtlĂł 0.5g|Cerabone 0.5|Bio-Oss 0.5|Xenogain 0.5"
"CsontpĂłtlĂł anyag (xenogĂ©n) - 1 g";"Anyagok Ă©s felszerelĂ©sek";"xenogĂ©n csontpĂłtlĂł 1g|Cerabone 1g|Bio-Oss 1g|Xenogain 1g"
"CsontpĂłtlĂł anyag (xenogĂ©n) - 2 g";"Anyagok Ă©s felszerelĂ©sek";"xenogĂ©n csontpĂłtlĂł 2g|Cerabone 2g|Bio-Oss 2g|Xenogain 2g"
"CsontpĂłtlĂł anyag (allogĂ©n)";"Anyagok Ă©s felszerelĂ©sek";"allogĂ©n csontpĂłtlĂł|maxgraft|allograft"
"CsontpĂłtlĂł anyag (alloplasztikus / szintetikus)";"Anyagok Ă©s felszerelĂ©sek";"alloplasztikus csontpĂłtlĂł|bĂ©ta-TCP|hidroxiapatit szintetikus"
"FelszĂ­vĂłdĂł kollagĂ©n membrĂˇn - kis (15x20 mm)";"Anyagok Ă©s felszerelĂ©sek";"BioGide kis|Xenoprotect 15x20|kollagĂ©n membrĂˇn kis|Mucoderm 15x20"
"FelszĂ­vĂłdĂł kollagĂ©n membrĂˇn - kĂ¶zepes (25x30 mm)";"Anyagok Ă©s felszerelĂ©sek";"kollagĂ©n membrĂˇn 25x30|Xenoprotect 25x30"
"FelszĂ­vĂłdĂł kollagĂ©n membrĂˇn - nagy (30x40 mm)";"Anyagok Ă©s felszerelĂ©sek";"BioGide 30x40|Xenoprotect 30x40|kollagĂ©n membrĂˇn nagy"
"Nem-felszĂ­vĂłdĂł membrĂˇn (titĂˇn-merevĂ­tĂ©sĹ±)";"Anyagok Ă©s felszerelĂ©sek";"Cytoplast|titĂˇn erĹ‘sĂ­tett membrĂˇn|nem felszĂ­vĂłdĂł membrĂˇn|PTFE membrĂˇn"
"LĂˇgyszĂ¶vet pĂłtlĂł anyag - kis";"Anyagok Ă©s felszerelĂ©sek";"Mucograft kis|Mucoderm 15x20|soft tissue graft kis"
"LĂˇgyszĂ¶vet pĂłtlĂł anyag - kĂ¶zepes (20x30)";"Anyagok Ă©s felszerelĂ©sek";"Mucoderm 20x30|Mucograft kĂ¶zepes"
"LĂˇgyszĂ¶vet pĂłtlĂł anyag - nagy (30x40)";"Anyagok Ă©s felszerelĂ©sek";"Mucoderm 30x40|Mucograft nagy"
"Mucoderm Punch (Ă­ny graft)";"Anyagok Ă©s felszerelĂ©sek";"mucoderm punch|punch graft"
"TitĂˇn csavar (membrĂˇnrĂ¶gzĂ­tĂ©shez, db)";"Anyagok Ă©s felszerelĂ©sek";"membrĂˇn csavar|titĂˇn pin|tack screw|fixĂˇlĂł csavar"
"3D titĂˇnhĂˇlĂł";"Anyagok Ă©s felszerelĂ©sek";"3D titĂˇnhĂˇlĂł|titanium mesh|customized titanium mesh"
"SebzĂˇrĂł kollagĂ©n anyag (Lyostypt)";"Anyagok Ă©s felszerelĂ©sek";"Lyostypt|kollagĂ©n szivacs|hemostatic collagen"
"Emdogain anyagdĂ­j";"Anyagok Ă©s felszerelĂ©sek";"Emdogain anyag|EMD anyag"
"ImplantĂˇtum (premium - Nobel)";"Anyagok Ă©s felszerelĂ©sek";"Nobel implantĂˇtum|NobelActive|NobelParallel|NobelReplace"
"ImplantĂˇtum (premium - Straumann)";"Anyagok Ă©s felszerelĂ©sek";"Straumann|SLA|SLActive|BLT|BLX"
"ImplantĂˇtum (kĂ¶zĂ©p-kategĂłria, AlphaBio)";"Anyagok Ă©s felszerelĂ©sek";"alphabio|AlphaBio implantĂˇtum"
"ImplantĂˇtum (kĂ¶zĂ©p-kategĂłria, Dentium)";"Anyagok Ă©s felszerelĂ©sek";"dentium|Dentium SuperLine"
"ImplantĂˇtum (kĂ¶zĂ©p-kategĂłria, MIS / Bionika)";"Anyagok Ă©s felszerelĂ©sek";"MIS|Bionika|hazai implantĂˇtum"
"Cirkon implantĂˇtum (Nobel Pearl)";"Anyagok Ă©s felszerelĂ©sek";"Nobel Pearl|cirkon implantĂˇtum"
"ImplantĂˇtum karbonszĂˇlas ĂˇtmenĹ‘csavar (Nobel Pearl)";"Anyagok Ă©s felszerelĂ©sek";"karbon szĂˇlas csavar|Nobel Pearl connector"
"On1 Base CC Xeal (Nobel)";"Anyagok Ă©s felszerelĂ©sek";"On1 base|Nobel On1"
"3D nyomtatott mĹ±tĂ©ti sablon";"Anyagok Ă©s felszerelĂ©sek";"surgical guide|fĂşrĂłsablon|drill guide|3D printed guide"
"AnyagkĂ¶ltsĂ©g (egyĂ©b tĂ©tel)";"Anyagok Ă©s felszerelĂ©sek";"anyagkĂ¶ltsĂ©g|anyagdĂ­j|materials"
